time,chat
22,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
22,가장 이쁜키 아닌가욥
22,아하!
22,ㅋㅋㅋㅋㅋ
22,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
22,못이모시
22,수금각 재는거 보면 153 맞으신듯
22,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
22,못이였누ㄷ
22,못이모시ㅋㅋㅋㅋㅋㅋ
22,키크시내요
22,오늘 그래도 오전에는 깨신거 같은데... 왜 지금... 오신거에요...?
22,왜요?
22,?
22,170X170X170이심
22,검사결과는 170이었고 섬님이 줄자로 쟀을때 대충 168 이라고 했었음
22,봤을때 70대는 아니었는데
22,못이모시ㅋㅋㅋㅋㅋ
22,마기님 키는 2미터 79센티죠 암암
22,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
22,부모님이 키크신가봐요?
22,ㅋㅋㅋㅋㅋㅋㅋㅋ
22,ㄴㅋㅋㅋㅋㅋㅋㅋ
22,1시넘어서...
22,1시반에 깻었자너
22,아...오후셨구나..
22,거대화
22,이게 막이님한테는 오전임 ㅋㅋㅋㅋㅋ
23,아 ㅋㅋㅋㅋㅋ
23,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
23,뇌가 잠듬
23,그냥 침대속에 있고있엇다 그거지뭐
23,뒹굴뒹굴했다는거구나
23,ㅔ
23,ㄹㅇ
23,네
23,ㅔ
23,누워서 이제 핸드폰 들고
23,몸: 귀찮음
23,네..
23,그래도 1시간안에는 꺠요..
23,네
23,ㅖ
23,난 그러는데
23,오징어덮밥! 하면서 일어남
23,출근할때 그러케하지
23,2미터 79센치 몸이 뜰려면 오래걸리죠
23,밖을 안나가요
23,어
23,네
23,네
23,주말에도 출근하는데요
23,그러는데요
23,오늘 출근날 아님?
23,밖에는 안 나가지만 깨요...
23,네
23,일단 주말엔 잘 안잠
23,그러네 주중이네
23,밖에만 안나가고 일어나죠...
23,일단 주말도 아님
23,ㅋ
23,수요일인데요
23,막하
23,반가워용 '- ^
23,딱 시간 아슬아슬하게 일부러 일어나니까 일어나자마자 준비하는게 맞는데?
23,일단 깨면 씻어요
23,그러네 주중이네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
23,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
23,일어나자마자 쫀득님 덕질
23,막이피셜 난 매일이 주말이다?
23,ㅋㅋㅋㅋㅋㅋㅋㅋ
23,이악물고무시하기
23,응 ㅋㅋ루삥빵뽕
23,화.. 났어요 .....?
23,ㅋㅋ
23,맞아
23,ㄹㅇㅋㅋ
23,출근해여지....
23,ㅋㅋㅋㅋ
23,ㄹㅇㅋㅋㅋ
23,ㄹㅇㅋㅋ
24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
24,저거지
24,ㅋㅋㅋㅋㅋㅋㅋㅋ
24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
24,ㅋㅋㅋㅋㅋㅋ
24,경--건
24,아니요 주말에는 9시 30반에 일어나 막이님방송 볼 준비를 하죠
24,아니 일어나면 찝찝하단말이야 여름이라
24,ㄹㅇㅋㅋ
24,ㅋㅋㅋㅋㅋㅋ
24,눈뜨자마자 켜놓고 들으면서 씻어야죠 ㅡㅡ
24,그럴려고해도 님이 지각하시잖아요
24,이미 트위치를 안끄고 잤는걸
24,누가 꺼놓고 잠?
24,아 들켰네
24,켜놓고 자는데
24,ㅋㅋ
24,"이녀석은 ""진짜""다"
24,ㅋㅋㅋ
24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
24,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
24,ㅋㅋㅋㅋㅋㅋ
24,찐이다
24,앗... 나두 들켯당..
24,이야..
24,ㅋㅋㅋㅋㅋㅋㅋㅋ
24,막타임이 있단말이다
24,ㅋㅋㅋㅋㅋㅋㅋㅋ
25,준비만 한다고요
25,솔직히 나는 깨어있지만 방송은 안 하죠 항상....
25,스읍 맞는말이긴 한데
25,옳소
25,ㅁㅈㅁㅈ
25,ㄴㅋㅋ
25,킹정
25,크흠...
25,이막이방송의 일상: 지각
25,인정..ㅋㅋㅋ
25,ㅇㅈ
25,걍 하루종일 라디오처럼 틀어놓고 할거함..
25,마자 저거ㅜㄹㅇ
25,ㅋㅋ
25,ㅇㅈ
25,마자마자..
25,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
25,옳소
25,정한시간대로 방송을 안해..
25,ㅇㅈㅇㅈ
25,ㅋㅋㅋㅋ
25,뼈맞았다
25,makiyHello makiyHello makiyHello
25,진짜.. 이 내용 그대로 이 주제 그대로 매번 얘기하지만 매번 지루하지는 않네요
26,ㄴㄴㄴㄴ
26,??
26,방송은 열심하긴해
26,성실한 이막이님
26,makiyBbb
26,시간이 안지켜지는거뿐이지 방송은 열심히하구이써
26,뭐래는거지
26,이막이가 하루라도 지각 안하면 해가 서쪽에서뜸
26,오늘 그래서 몇 시 출근인데요
26,매번 지각이지만 절대 자루하지않는 막기님 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
26,이쯤되면 방송시간의 불규칙성 자체가 컨텐츠
26,???
26,?....
26,?
26,?
26,에반데
26,나도그러고싶다
26,??
26,???
26,makiyFuku makiyFuku
26,?
26,아직 꿈속인가???
26,킹반대
26,에반데
